Genre,Count
juvenile literature,1524
romans,827
nouvelles,796
friendship,773
adventure and adventurers,687
etc. pour la jeunesse,682
general,681
animals,608
large type books,596
humorous stories,578
history,541
new york times bestseller,531
fantasy,527
schools,493
ficción juvenil,476
spanish language materials,471
childrens stories,446
magic,368
picture books,358
brothers and sisters,313
mystery and detective stories,291
family life,290
strips,254
comic books,253
family,249
stories in rhyme,233
juvenile,227
picture books for children,226
families,223
adventure stories,223
pictorial works,221
girls,219
cartoons and comics,216
biography,215
dogs,213
readers,212
action and adventure,211
ouvrages pour la jeunesse,211
novela juvenil,211
open library staff picks,196
orphans,178
american literature,174
horror stories,171
siblings,171
children,167
historical,167
books and reading,163
toy and movable books,163
literature,162
new york times reviewed,161
graphic novels,160
detective and mystery stories,160
england,157
social themes,157
reading level-grade 12,155
reading level-grade 11,153
school stories,152
etc.,148
monsters,147
reading level-grade 8,146
survival,144
cats,142
african americans,140
english,140
english language,138
juvenile works,138
comics and graphic novels,136
reading level-grade 10,134
american,134
conduct of life,131
boys,127
reading level-grade 9,127
mice,125
romance,124
livres dimages pour enfants,124
reading level-grade 7,123
histoire,123
canada,121
specimens,120
english literature,119
amistad,117
amitié,116
horror tales,114
united states,114
behavior,113
spanish language,113
suspense,112
bears,111
time travel,111
ghosts,110
award:newbery_award,110
novela,110
mystery and detective,110
social life and customs,110
interpersonal relations,103
fairy tales,103
voyages and travels,102
newbery medal,99
science,98
mystery,97
supernatural,96
thrillers,96
death,95
dinosaurs,95
authors,95
short stories,95
imagination,94
ghost stories,94
sisters,93
love,93
blind,92
women,91
stories,91
childrens literature,90
mythical animals,90
dragons,90
magia,89
fathers and sons,89
turtles,88
study and teaching,87
adventure,87
good and evil,87
indians of north america,86
ficción,86
world war,85
identity,84
emotions,83
great britain,82
accessible book,80
wizards,80
classics,80
horror,79
adaptations,79
teenagers,79
reader,79
franklin (fictitious character : bourgeois),78
folklore,78
books,77
bullying,77
mothers and daughters,76
missing persons,76
fairies,75
witches,74
pets,73
legends,73
insects,73
grandparents,73
pirates,72
board books,72
diaries,71
social conditions,71
fantasy and magic,71
parent and child,71
teenage girls,70
poetry,70
1939-1945,70
individuality,70
courage,69
escuelas,68
babysitters,68
heroes,68
classic literature,68
humor,68
shipwrecks,67
ouvrages illustrés,67
christmas,67
écoles,66
childrens poetry,65
fear,65
childrens,64
vampires,64
series:goosebumps,64
reading level-grade 6,63
brothers,63
coming of age,62
fables,62
accelerated reader,62
history and criticism,62
juvenile audience,62
open_syllabus_project,62
protected daisy,61
kidnapping,61
canadian (english),61
pigs,61
literatura juvenil,60
middle schools,60
benjamin (personnage fictif : bourgeois),60
food,60
camps,59
collectionid:goosebumps1,58
chapter book,58
translations into chinese,58
rabbits,58
contests,58
children: kindergarten,58
dystopias,58
swine,57
education,57
young adult,57
race relations,56
teachers,56
novel,56
identity (philosophical concept),56
